Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
VNET,"21Vianet Group, Inc.",27.22,1253253087,46041627,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",14.37,577855133.9,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,52.67,5476092421,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
JOBS,"51job, Inc.",72.1,848349004.3,11766283,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,50.23,3990188120,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
ATEN,"A10 Networks, Inc.",13.08,785512637.6,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAN,"Aaron&#39;s,  Inc.",28.66,2070155564,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ACIW,"ACI Worldwide, Inc.",17.71,8059894532,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACTS,"Actions Semiconductor Co., Ltd.",2.11,78191540.22,37057602,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ATVI,"Activision Blizzard, Inc",22.985,16450964409,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ATU,Actuant Corporation,32.86,2258457909,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
BIRT,Actuate Corporation,4.26,196202053.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt
ACXM,Acxiom Corporation,19.07,1469205147,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADEP,"Adept Technology, Inc.",9.33,121781467.1,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADBE,Adobe Systems Incorporated,72.62,36119389856,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
AMD,"Advanced Micro Devices, Inc.",3.76,2865277480,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
API,"Advanced Photonix, Inc.",0.52,19438334.76,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api
ASX,"Advanced Semiconductor Engineering, Inc.",6.01,9391197152,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,11.2699,1963066961,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
ADVS,"Advent Software, Inc.",31.29,1610418012,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
AER,Aercap Holdings N.V.,44.7,5086242693,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
ACY,AeroCentury Corp.,16.285,25131940.25,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
ARX,Aeroflex Holding Corp.,10.55,899017152.8,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/arx
HIVE,"Aerohive Networks, Inc.",8.51,388342523.2,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AGYS,"Agilysys, Inc.",13.25,297681111.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AL,Air Lease Corporation,36.36,3705692521,n/a,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
AYR,Aircastle Limited,17.69,1432961308,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AMCN,AirMedia Group Inc,2.13,92014602.72,43199344,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,13.67,90734214.9,6637470,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AFOP,"Alliance Fiber Optic Products, Inc.",16.85,311244791.9,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
ALLT,Allot Communications Ltd.,12.95,425758678.1,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",16.8,3015320364,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AOSL,Alpha and Omega Semiconductor Limited,9.32,243556335.3,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
ALTR,Altera Corporation,33.479,10487511216,n/a,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr
AMBA,"Ambarella, Inc.",29.49,861817883.3,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMBR,"Amber Road, Inc.",14.58,367569527.4,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr
DOX,Amdocs Limited,47.81,7648739420,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMSWA,"American Software, Inc.",9.6,271240281.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMKR,"Amkor Technology, Inc.",9.79,2316004313,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
ASYS,"Amtech Systems, Inc.",10.23,100687373.5,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
ANAD,"ANADIGICS, Inc.",0.8103,69330121.25,n/a,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
ADI,"Analog Devices, Inc.",50.16,15757533414,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ANSS,"ANSYS, Inc.",77.27,7160064678,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
AOL,AOL Inc.,38.82,3103198517,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aol
ATNY,API Technologies Corp.,2.18,120766297.1,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
AAPL,Apple Inc.,97.671,584840957757,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
AMAT,"Applied Materials, Inc.",21.23,25845431722,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,9.68,756270192.5,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AAOI,"Applied Optoelectronics, Inc.",20.42,301911027.3,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
ARIS,"ARI Network Services, Inc.",3.08,41442025.24,n/a,1991,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aris
ANET,"Arista Networks, Inc.",63.64,4046384954,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/anet
ARMH,ARM Holdings plc,43.77,5612065268,128217164,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARRS,"ARRIS Group, Inc.",33.91,4874546054,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
ARUN,"Aruba Networks, Inc.",18.11,1969202277,n/a,2007,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/arun
ASTI,"Ascent Solar Technologies, Inc.",0.37,29245522.98,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asti
ASMI,ASM International N.V.,38.85,102541117.4,2639411,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asmi
ASML,ASML Holding N.V.,84.97,7302304806,85939800,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
AZPN,"Aspen Technology, Inc.",44.77,4122044413,n/a,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ATEA,"Astea International, Inc.",2.36,8466025.64,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atea
ALOT,"Astro-Med, Inc.",13.67,104973871.1,n/a,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ASUR,Asure Software Inc,5.0785,30366514.94,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/asur
